percentage,low-Degree=0,medium-Degree=0,high-Degree=0,low-Degree=1,medium-Degree=1,high-Degree=1,low-Degree=2,medium-Degree=2,high-Degree=2,low-Degree=3,medium-Degree=3,high-Degree=3,low-Degree=4,medium-Degree=4,high-Degree=4,low-Degree=5,medium-Degree=5,high-Degree=5,low-Degree=6,medium-Degree=6,high-Degree=6,low-Degree=7,medium-Degree=7,high-Degree=7,low-Degree=8,medium-Degree=8,high-Degree=8,low-Degree=9,medium-Degree=9,high-Degree=9,low-Degree=10,medium-Degree=10,high-Degree=10,low-Degree=11,medium-Degree=11,high-Degree=11,low-Degree=12,medium-Degree=12,high-Degree=12,low-Degree=13,medium-Degree=13,high-Degree=13,low-Degree=14,medium-Degree=14,high-Degree=14,low-Degree=15,medium-Degree=15,high-Degree=15
0.2,0.248,0.2537313432835821,0.25833333333333336,0.0,0.007518796992481203,0.008771929824561403,0.19827586206896552,0.21739130434782608,0.23809523809523808,0.33587786259541985,0.359375,0.3826086956521739,0.06086956521739131,0.07575757575757576,0.08955223880597014,0.009009009009009009,0.024193548387096774,0.0423728813559322,0.008130081300813009,0.015873015873015872,0.024,0.007936507936507936,0.015151515151515152,0.022222222222222223,0.0,0.008403361344537815,0.01639344262295082,0.0,0.007194244604316547,0.008620689655172414,0.0,0.0,0.007352941176470588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.21,0.25833333333333336,0.2631578947368421,0.26865671641791045,0.0,0.007575757575757576,0.008849557522123894,0.2,0.22058823529411764,0.24113475177304963,0.3275862068965517,0.3504273504273504,0.3728813559322034,0.058823529411764705,0.07317073170731707,0.08695652173913043,0.014285714285714285,0.024193548387096774,0.0423728813559322,0.008130081300813009,0.015748031496062992,0.023809523809523808,0.0078125,0.014925373134328358,0.021739130434782608,0.0,0.008264462809917356,0.016,0.0,0.0,0.00847457627118644,0.0,0.0,0.006993006993006993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.22,0.2682926829268293,0.2740740740740741,0.27906976744186046,0.0,0.007692307692307693,0.014492753623188406,0.2032520325203252,0.22388059701492538,0.24390243902439024,0.31851851851851853,0.34146341463414637,0.36363636363636365,0.056910569105691054,0.07017543859649122,0.08461538461538462,0.014388489208633094,0.024193548387096774,0.041666666666666664,0.008064516129032258,0.015748031496062992,0.023622047244094488,0.007692307692307693,0.014705882352941176,0.02097902097902098,0.0,0.008130081300813009,0.015503875968992248,0.0,0.0,0.008333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.23,0.2786885245901639,0.2845528455284553,0.2898550724637681,0.0,0.007751937984496124,0.014814814814814815,0.20634920634920634,0.2265625,0.2462686567164179,0.3089430894308943,0.3310810810810811,0.3541666666666667,0.05426356589147287,0.06779661016949153,0.08148148148148149,0.014492753623188406,0.024,0.04132231404958678,0.008064516129032258,0.015625,0.0234375,0.007633587786259542,0.014492753623188406,0.017391304347826087,0.0,0.007936507936507936,0.015037593984962405,0.0,0.0,0.00819672131147541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.24,0.2892561983471074,0.29457364341085274,0.3,0.0,0.0078125,0.015037593984962405,0.20833333333333334,0.2288135593220339,0.24822695035460993,0.3008130081300813,0.3230769230769231,0.3448275862068966,0.05128205128205128,0.06557377049180328,0.07874015748031496,0.014492753623188406,0.024,0.04065040650406504,0.008,0.015503875968992248,0.023076923076923078,0.007518796992481203,0.013986013986013986,0.017094017094017096,0.0,0.0078125,0.014492753623188406,0.0,0.0,0.008064516129032258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.25,0.3,0.30578512396694213,0.3111111111111111,0.0,0.007874015748031496,0.015267175572519083,0.2109375,0.23076923076923078,0.2517985611510791,0.2916666666666667,0.31386861313868614,0.33587786259541985,0.04964539007092199,0.06299212598425197,0.07575757575757576,0.014492753623188406,0.024,0.04,0.007874015748031496,0.015384615384615385,0.023076923076923078,0.007352941176470588,0.008547008547008548,0.01680672268907563,0.0,0.007633587786259542,0.013888888888888888,0.0,0.0,0.007874015748031496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.26,0.3089430894308943,0.31451612903225806,0.3203125,0.0,0.007936507936507936,0.015503875968992248,0.2125984251968504,0.23275862068965517,0.2536231884057971,0.2846153846153846,0.30597014925373134,0.32786885245901637,0.04838709677419355,0.06060606060606061,0.07377049180327869,0.014492753623188406,0.023809523809523808,0.03937007874015748,0.007874015748031496,0.015267175572519083,0.022727272727272728,0.007246376811594203,0.008403361344537815,0.01652892561983471,0.0,0.007518796992481203,0.008547008547008548,0.0,0.0,0.007692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.27,0.3191489361702128,0.3252032520325203,0.33070866141732286,0.0,0.008,0.015748031496062992,0.21428571428571427,0.234375,0.2540983606557377,0.2764227642276423,0.29770992366412213,0.3188405797101449,0.046511627906976744,0.058333333333333334,0.07194244604316546,0.014598540145985401,0.023809523809523808,0.03875968992248062,0.007751937984496124,0.015151515151515152,0.022388059701492536,0.007142857142857143,0.008264462809917356,0.016260162601626018,0.0,0.007352941176470588,0.008333333333333333,0.0,0.0,0.007518796992481203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.28,0.3284671532846715,0.3356643356643357,0.3409090909090909,0.0,0.008,0.016,0.2158273381294964,0.23577235772357724,0.256,0.2695035460992908,0.2900763358778626,0.3103448275862069,0.044444444444444446,0.05673758865248227,0.06976744186046512,0.014598540145985401,0.023622047244094488,0.038461538461538464,0.007692307692307693,0.014925373134328358,0.022222222222222223,0.006993006993006993,0.008130081300813009,0.016,0.0,0.007194244604316547,0.00819672131147541,0.0,0.0,0.007352941176470588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.29,0.33858267716535434,0.3442622950819672,0.35036496350364965,0.0,0.008064516129032258,0.016129032258064516,0.21705426356589147,0.23728813559322035,0.25757575757575757,0.26153846153846155,0.28225806451612906,0.3023255813953488,0.04225352112676056,0.05517241379310345,0.06722689075630252,0.014598540145985401,0.0234375,0.03787878787878788,0.007633587786259542,0.014705882352941176,0.021897810218978103,0.006896551724137931,0.008,0.015748031496062992,0.0,0.007042253521126761,0.008064516129032258,0.0,0.0,0.007246376811594203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
